# FSK Signal Parameters
# Data: 101010
# f0: 1.5Hz
# f1: 4.5Hz
# Sampling Frequency: 15.0Hz
# Number of Points: 32
# Time (s), Signal Amplitude
0.00000000, 0.00000000
0.06881720, 0.93052070
0.13763441, -0.68158649
0.20645161, -0.43127319
0.27526882, 0.99748487
0.34408602, -0.10116832
0.41290323, -0.68158649
0.48172043, -0.98519632
0.55053763, -0.88869469
0.61935484, -0.43127319
0.68817204, 0.57126822
0.75698925, 0.55451651
0.82580645, -0.97743968
0.89462366, 0.16143714
0.96344086, 0.85919044
1.03225806, -0.29936312
1.10107527, -0.81493206
1.16989247, -0.99953788
1.23870968, -0.77820779
1.30752688, -0.24082917
1.37634409, 0.93775213
1.44516129, -0.02026695
1.51397849, -0.92290702
1.58279570, 0.69627659
1.65161290, 0.41289933
1.72043011, -0.48530196
1.78924731, -0.91491422
1.85806452, -0.97295824
1.92688172, -0.63586098
1.99569892, -0.04052558
2.06451613, 0.57126822
2.13333333, 0.95105652
