故障类型,故障描述,故障位置,输入电压(V),发送端轨面电压(V),接收端轨面电压(V),主轨入电压(V),轨出1电压(V),发送端轨面电流(A),接收端轨面电流(A),主轨入电流(A),轨出1电流(A),频率(Hz),补偿电容(uF),变压器变比,变压器输入阻抗(Ω)
0,无故障,69G,100.0,19.104020365761265,47196342.39357709,2041802210.339136,1519.218007057532,31.43035638177173,27848014.71604876,2963363.1743694698,2.3835384623572877,1700,5.5e-05,12,36
0,无故障,69G,110.0,21.01442240233739,51915976.63293481,2245982431.373049,1671.1398077632853,34.5733920199489,30632816.18765363,3259699.491806417,2.6218923085930164,1700,5.5e-05,12,36
0,无故障,69G,120.0,22.92482443891352,56635610.87229252,2450162652.4069624,1823.0616084690384,37.71642765812607,33417617.65925851,3556035.8092433633,2.860246154828745,1700,5.5e-05,12,36
0,无故障,69G,130.0,24.835226475489645,61355245.11165023,2654342873.440875,1974.9834091747914,40.85946329630324,36202419.130863376,3852372.12668031,3.098600001064474,1700,5.5e-05,12,36
0,无故障,69G,140.0,26.745628512065775,66074879.35100794,2858523094.4747896,2126.905209880545,44.002498934480414,38987220.60246826,4148708.444117257,3.3369538473002027,1700,5.5e-05,12,36
0,无故障,69G,150.0,28.656030548641898,70794513.59036563,3062703315.508703,2278.827010586298,47.14553457265759,41772022.07407313,4445044.761554204,3.5753076935359314,1700,5.5e-05,12,36
1,接收端调谐单元1断路,69G,100.0,18.68739661099058,13412542.277651908,580251711.8886181,1520.1979673713265,1.1052932429465527,7914017.395938177,842146.4851830761,2.3848681372911638,1700,5.5e-05,12,36
1,接收端调谐单元1断路,69G,110.0,20.55613627208964,14753796.505417097,638276883.07748,1672.2177641084593,1.215822567241208,8705419.135531995,926361.1337013837,2.6233549510202807,1700,5.5e-05,12,36
1,接收端调谐单元1断路,69G,120.0,22.424875933188694,16095050.733182289,696302054.2663418,1824.2375608455918,1.3263518915358632,9496820.875125812,1010575.7822196913,2.8618417647493968,1700,5.5e-05,12,36
1,接收端调谐单元1断路,69G,130.0,24.293615594287754,17436304.96094748,754327225.4552035,1976.2573575827241,1.4368812158305186,10288222.61471963,1094790.4307379988,3.1003285784785133,1700,5.5e-05,12,36
1,接收端调谐单元1断路,69G,140.0,26.162355255386814,18777559.18871267,812352396.6440655,2128.2771543198573,1.5474105401251739,11079624.354313448,1179005.0792563069,3.3388153922076294,1700,5.5e-05,12,36
1,接收端调谐单元1断路,69G,150.0,28.031094916485866,20118813.416477863,870377567.832927,2280.2969510569897,1.657939864419829,11871026.093907265,1263219.727774614,3.577302205936746,1700,5.5e-05,12,36
2,发送端调谐单元1断路,69G,100.0,1639.6954413812816,193432726562.97284,2958744274766.829,2958744274766.829,0.020469309079256145,5575256.335931756,4634121361.800737,4634121361.800737,1700,5.5e-05,12,36
2,发送端调谐单元1断路,69G,110.0,1803.66498551941,212775999219.2701,3254618702243.5117,3254618702243.5117,0.02251623998718176,6132781.969524931,5097533497.98081,5097533497.98081,1700,5.5e-05,12,36
2,发送端调谐单元1断路,69G,120.0,1967.6345296575382,232119271875.56738,3550493129720.195,3550493129720.195,0.024563170895107376,6690307.603118107,5560945634.160885,5560945634.160885,1700,5.5e-05,12,36
2,发送端调谐单元1断路,69G,130.0,2131.6040737956664,251462544531.86465,3846367557196.8774,3846367557196.8774,0.026610101803032988,7247833.236711282,6024357770.340959,6024357770.340959,1700,5.5e-05,12,36
2,发送端调谐单元1断路,69G,140.0,2295.5736179337946,270805817188.16196,4142241984673.561,4142241984673.561,0.0286570327109586,7805358.870304458,6487769906.521031,6487769906.521031,1700,5.5e-05,12,36
